@babel/helper-string-parser	7.27.1	MIT
@babel/helper-validator-identifier	7.28.5	MIT
@babel/parser	7.29.3	MIT
@babel/types	7.29.0	MIT
@codemirror/autocomplete	6.20.2	MIT
@codemirror/commands	6.10.3	MIT
@codemirror/lang-yaml	6.1.3	MIT
@codemirror/language	6.12.3	MIT
@codemirror/lint	6.9.6	MIT
@codemirror/search	6.7.0	MIT
@codemirror/state	6.6.0	MIT
@codemirror/theme-one-dark	6.1.3	MIT
@codemirror/view	6.43.0	MIT
@esbuild/linux-x64	0.27.7	MIT
@jridgewell/sourcemap-codec	1.5.5	MIT
@lezer/common	1.5.2	MIT
@lezer/highlight	1.2.3	MIT
@lezer/lr	1.4.10	MIT
@lezer/yaml	1.0.4	MIT
@marijn/find-cluster-break	1.0.2	MIT
@rolldown/pluginutils	1.0.1	MIT
@rollup/rollup-linux-x64-gnu	4.60.4	MIT
@types/estree	1.0.8	MIT
@types/js-yaml	4.0.9	MIT
@vitejs/plugin-vue	6.0.7	MIT
@volar/language-core	2.4.28	MIT
@volar/source-map	2.4.28	MIT
@volar/typescript	2.4.28	MIT
@vue/compiler-core	3.5.34	MIT
@vue/compiler-dom	3.5.34	MIT
@vue/compiler-sfc	3.5.34	MIT
@vue/compiler-ssr	3.5.34	MIT
@vue/devtools-api	6.6.4	MIT
@vue/language-core	3.2.9	MIT
@vue/reactivity	3.5.34	MIT
@vue/runtime-core	3.5.34	MIT
@vue/runtime-dom	3.5.34	MIT
@vue/server-renderer	3.5.34	MIT
@vue/shared	3.5.34	MIT
alien-signals	3.2.1	MIT
argparse	2.0.1	Python-2.0
codemirror	6.0.2	MIT
crelt	1.0.6	MIT
csstype	3.2.3	MIT
entities	7.0.1	BSD-2-Clause
esbuild	0.27.7	MIT
estree-walker	2.0.2	MIT
fdir	6.5.0	MIT
js-yaml	4.1.1	MIT
magic-string	0.30.21	MIT
muggle-string	0.4.1	MIT
nanoid	3.3.12	MIT
path-browserify	1.0.1	MIT
picocolors	1.1.1	ISC
picomatch	4.0.4	MIT
postcss	8.5.14	MIT
rollup	4.60.4	MIT
source-map-js	1.2.1	BSD-3-Clause
style-mod	4.1.3	MIT
tinyglobby	0.2.16	MIT
typescript	5.9.3	Apache-2.0
vite	7.3.3	MIT
vscode-uri	3.1.0	MIT
vue	3.5.34	MIT
vue-router	4.6.4	MIT
vue-tsc	3.2.9	MIT
w3c-keyname	2.2.8	MIT
